dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
20newsgroups,semi-supervised,baseline_ddae,111,29.705682549270023,79.98381046746171,nlp
20newsgroups,unsupervised,unsup_baseline,111,14.220128948241783,77.94640645458084,nlp
ALOI,semi-supervised,ssts,111,10.999718383005227,59.39366425193426,classical
ALOI,unsupervised,ddae_repro,111,4.489217679034192,56.32244639038911,classical
Agnews,semi-supervised,baseline_ddae,111,18.71630478831908,69.64581052631578,nlp
Agnews,unsupervised,ddae_repro,111,8.94741064948265,66.49796842105263,nlp
Imdb,semi-supervised,semi_speech_specialist,111,10.554601672176691,54.398947368421055,nlp
Imdb,unsupervised,oracle_danc,111,5.3549207106650805,51.49068421052632,nlp
SVHN,semi-supervised,ssts,111,16.101574939145436,65.06560537280019,cv
SVHN,unsupervised,ddae_repro,111,8.091291548596406,63.21077669299173,cv
celeba,semi-supervised,taps,111,14.692434269389953,76.58699471582041,classical
celeba,unsupervised,unsup_lfdanc,111,7.599016715137691,76.07417635497922,classical
cover,semi-supervised,baseline_ddae,111,86.63998638326527,98.58856743943429,classical
cover,unsupervised,unsup_ssts,111,8.991308326178135,93.86526559232723,classical
letter,semi-supervised,baseline_ddae,111,81.1753851985407,96.47333333333334,classical
letter,unsupervised,ddae_repro,111,35.95022666504054,89.05466666666668,classical
speech,semi-supervised,semi_nlp_danc,111,5.854114753509158,53.58928684455616,classical
speech,unsupervised,unsup_baseline,111,4.824661065797786,63.780667043527416,classical
vowels,semi-supervised,baseline_ddae,111,93.24698371677961,99.08961593172118,classical
vowels,unsupervised,ddae_repro,111,57.84418277979936,96.73684210526316,classical
