dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
ALOI,semi-supervised,baseline_ddae,111,9.688361493900086,57.06662013646233,classical
celeba,semi-supervised,baseline_ddae,111,12.04423223850418,77.30166852635321,classical
census,semi-supervised,baseline_ddae,111,21.338673643910806,71.28231426031897,classical
glass,semi-supervised,baseline_ddae,111,32.08751804953703,86.29989212513483,classical
optdigits,semi-supervised,baseline_ddae,111,32.663619784320176,94.43847874720358,classical
speech,semi-supervised,baseline_ddae,111,4.528475567420945,51.61628674509237,classical
vertebral,semi-supervised,baseline_ddae,111,23.038270395052802,55.52380952380952,classical
Waveform,semi-supervised,baseline_ddae,111,16.736285642650788,75.497009569378,classical
Wilt,semi-supervised,baseline_ddae,111,14.18352355579925,67.35986844462033,classical
WPBC,semi-supervised,baseline_ddae,111,40.199850974158366,56.49496080627099,classical
CIFAR10,semi-supervised,baseline_ddae,111,26.175705657437163,75.45490494296578,cv
SVHN,semi-supervised,baseline_ddae,111,15.865822177064265,64.95849138735153,cv
Agnews,semi-supervised,baseline_ddae,111,18.71630478831908,69.64581052631578,nlp
Amazon,semi-supervised,baseline_ddae,111,12.583215626454743,63.19010526315789,nlp
Imdb,semi-supervised,baseline_ddae,111,9.125617724279547,50.11665263157895,nlp
Yelp,semi-supervised,baseline_ddae,111,17.83757570533937,70.68035789473684,nlp
20newsgroups,semi-supervised,baseline_ddae,111,29.705682549270023,79.98381046746171,nlp
ALOI,semi-supervised,baseline_ddae,222,9.836746521534067,56.807038981206134,classical
celeba,semi-supervised,baseline_ddae,222,10.427749847727757,73.62932979092321,classical
census,semi-supervised,baseline_ddae,222,21.715896990873524,71.52800220109548,classical
glass,semi-supervised,baseline_ddae,222,34.37923732041379,92.98813376483281,classical
optdigits,semi-supervised,baseline_ddae,222,36.061158701322114,95.20779049874984,classical
speech,semi-supervised,baseline_ddae,222,6.132306417549959,56.627453817149366,classical
vertebral,semi-supervised,baseline_ddae,222,20.839123277470247,49.17460317460317,classical
Waveform,semi-supervised,baseline_ddae,222,16.424854670382704,74.88995215311004,classical
Wilt,semi-supervised,baseline_ddae,222,17.318821183024884,72.20031148874905,classical
WPBC,semi-supervised,baseline_ddae,222,38.763365626932824,50.78387458006719,classical
CIFAR10,semi-supervised,baseline_ddae,222,25.06287485330514,74.73414448669202,cv
SVHN,semi-supervised,baseline_ddae,222,15.757926714936676,65.477271313973,cv
Agnews,semi-supervised,baseline_ddae,222,17.93727139342646,68.99995789473684,nlp
Amazon,semi-supervised,baseline_ddae,222,12.529742760982842,62.88473684210526,nlp
Imdb,semi-supervised,baseline_ddae,222,9.150580541511811,50.52682105263159,nlp
Yelp,semi-supervised,baseline_ddae,222,17.76578816643766,69.96067368421053,nlp
20newsgroups,semi-supervised,baseline_ddae,222,28.52733036358425,79.72681269683996,nlp
ALOI,semi-supervised,baseline_ddae,333,9.903621647376893,57.148450259204196,classical
celeba,semi-supervised,baseline_ddae,333,11.825902366198502,76.89644886965483,classical
census,semi-supervised,baseline_ddae,333,21.72193823400206,71.79504857595134,classical
glass,semi-supervised,baseline_ddae,333,27.406523990871523,89.10463861920172,classical
optdigits,semi-supervised,baseline_ddae,333,39.02151486708401,95.89656533754442,classical
speech,semi-supervised,baseline_ddae,333,4.35690489723989,55.7657356252204,classical
vertebral,semi-supervised,baseline_ddae,333,26.995017086602658,60.31746031746032,classical
Waveform,semi-supervised,baseline_ddae,333,13.37027487691011,74.32655502392345,classical
Wilt,semi-supervised,baseline_ddae,333,15.36465018738461,69.52971339964553,classical
WPBC,semi-supervised,baseline_ddae,333,37.03113706013873,52.07166853303471,classical
CIFAR10,semi-supervised,baseline_ddae,333,22.800302312615436,73.5948288973384,cv
SVHN,semi-supervised,baseline_ddae,333,17.16343144202234,65.04290777936694,cv
Agnews,semi-supervised,baseline_ddae,333,18.50409436866326,69.53048421052631,nlp
Amazon,semi-supervised,baseline_ddae,333,12.787490812046729,63.87507368421053,nlp
Imdb,semi-supervised,baseline_ddae,333,9.097506311185722,50.76652631578947,nlp
Yelp,semi-supervised,baseline_ddae,333,17.43759551888202,69.91907368421053,nlp
20newsgroups,semi-supervised,baseline_ddae,333,30.421382703371446,79.94709650023002,nlp
ALOI,semi-supervised,baseline_ddae,444,9.094348811620797,56.53435152996813,classical
celeba,semi-supervised,baseline_ddae,444,10.559133585428416,74.67176283364607,classical
census,semi-supervised,baseline_ddae,444,21.78584796315553,71.65861920674828,classical
glass,semi-supervised,baseline_ddae,444,29.606777807204214,77.02265372168284,classical
optdigits,semi-supervised,baseline_ddae,444,39.76221826083909,96.05684958547177,classical
speech,semi-supervised,baseline_ddae,444,4.552672404845945,53.193240078485985,classical
vertebral,semi-supervised,baseline_ddae,444,26.88788540061708,62.126984126984134,classical
Waveform,semi-supervised,baseline_ddae,444,17.11917467128769,74.88038277511961,classical
Wilt,semi-supervised,baseline_ddae,444,13.409133984641292,64.67877935986162,classical
WPBC,semi-supervised,baseline_ddae,444,35.96569762504168,50.335946248600216,classical
CIFAR10,semi-supervised,baseline_ddae,444,25.607354292585804,75.29110266159695,cv
SVHN,semi-supervised,baseline_ddae,444,15.065876754253093,64.41950127479635,cv
Agnews,semi-supervised,baseline_ddae,444,18.125670892914933,69.38905263157893,nlp
Amazon,semi-supervised,baseline_ddae,444,12.545272383401592,62.98896842105264,nlp
Imdb,semi-supervised,baseline_ddae,444,9.278715911490446,51.127621052631575,nlp
Yelp,semi-supervised,baseline_ddae,444,17.44452912389925,69.87141052631578,nlp
20newsgroups,semi-supervised,baseline_ddae,444,26.2259722354242,78.22065536643194,nlp
ALOI,semi-supervised,baseline_ddae,555,8.647722307460528,56.49563742053514,classical
celeba,semi-supervised,baseline_ddae,555,13.658570057747138,79.07677975031679,classical
census,semi-supervised,baseline_ddae,555,21.927569737063415,71.91986137173163,classical
glass,semi-supervised,baseline_ddae,555,23.67729454644511,87.59439050701187,classical
optdigits,semi-supervised,baseline_ddae,555,39.94799927013285,95.98131333070141,classical
speech,semi-supervised,baseline_ddae,555,5.752055891182115,54.459142983733145,classical
vertebral,semi-supervised,baseline_ddae,555,29.960408697349244,63.17460317460317,classical
Waveform,semi-supervised,baseline_ddae,555,12.194851847260276,69.99372009569379,classical
Wilt,semi-supervised,baseline_ddae,555,19.432021885965877,75.22743284483391,classical
WPBC,semi-supervised,baseline_ddae,555,42.2330749097646,58.622620380739086,classical
CIFAR10,semi-supervised,baseline_ddae,555,26.352141989958504,74.62980988593156,cv
SVHN,semi-supervised,baseline_ddae,555,16.422253503004676,65.36129593930727,cv
Agnews,semi-supervised,baseline_ddae,555,17.966167097528455,69.28922105263158,nlp
Amazon,semi-supervised,baseline_ddae,555,12.517821089773884,63.09250526315788,nlp
Imdb,semi-supervised,baseline_ddae,555,9.04708566582699,51.049894736842106,nlp
Yelp,semi-supervised,baseline_ddae,555,17.16987173243873,69.75263157894737,nlp
20newsgroups,semi-supervised,baseline_ddae,555,28.657680825221586,80.09749106479353,nlp
ALOI,semi-supervised,semi_nlp_danc,111,10.307867341767354,60.84679789384639,classical
celeba,semi-supervised,semi_nlp_danc,111,13.782028929099122,79.46597006814706,classical
census,semi-supervised,semi_nlp_danc,111,20.912939820633767,72.10529008492314,classical
glass,semi-supervised,semi_nlp_danc,111,29.91235789699652,82.63214670981661,classical
optdigits,semi-supervised,semi_nlp_danc,111,29.343881832722857,93.60284247927359,classical
speech,semi-supervised,semi_nlp_danc,111,5.854114753509158,53.58928684455616,classical
vertebral,semi-supervised,semi_nlp_danc,111,41.88709835195053,74.0,classical
Waveform,semi-supervised,semi_nlp_danc,111,16.653020433231944,71.98684210526316,classical
Wilt,semi-supervised,semi_nlp_danc,111,52.796796679489624,92.13823549982345,classical
WPBC,semi-supervised,semi_nlp_danc,111,38.84104635436138,54.53527435610302,classical
CIFAR10,semi-supervised,semi_nlp_danc,111,25.62027280024491,75.09079847908745,cv
SVHN,semi-supervised,semi_nlp_danc,111,15.949710661914168,64.79307878863256,cv
Agnews,semi-supervised,semi_nlp_danc,111,15.234986229263281,64.63372631578947,nlp
Amazon,semi-supervised,semi_nlp_danc,111,12.317146983294357,61.716294736842116,nlp
Imdb,semi-supervised,semi_nlp_danc,111,9.356849122376762,51.09656842105264,nlp
Yelp,semi-supervised,semi_nlp_danc,111,17.83713415484229,69.69385263157896,nlp
20newsgroups,semi-supervised,semi_nlp_danc,111,20.82148788667971,75.14508652110831,nlp
ALOI,semi-supervised,semi_nlp_danc,222,11.30132502372114,60.17938338218875,classical
celeba,semi-supervised,semi_nlp_danc,222,13.403382881387971,79.61695617758134,classical
census,semi-supervised,semi_nlp_danc,222,21.36535435931371,72.19527758309822,classical
glass,semi-supervised,semi_nlp_danc,222,28.605077140030243,77.66990291262135,classical
optdigits,semi-supervised,semi_nlp_danc,222,26.407171670901196,92.25240163179365,classical
speech,semi-supervised,semi_nlp_danc,222,5.401222224208495,55.616539925673415,classical
vertebral,semi-supervised,semi_nlp_danc,222,20.742239145398727,49.58730158730159,classical
Waveform,semi-supervised,semi_nlp_danc,222,11.370455131127736,66.97727272727273,classical
Wilt,semi-supervised,semi_nlp_danc,222,55.64475829602294,90.96170871878503,classical
WPBC,semi-supervised,semi_nlp_danc,222,35.41762730865066,47.256438969764844,classical
CIFAR10,semi-supervised,semi_nlp_danc,222,24.093685236025607,74.35695817490495,cv
SVHN,semi-supervised,semi_nlp_danc,222,15.741632209698892,64.97434861016106,cv
Agnews,semi-supervised,semi_nlp_danc,222,14.380935215305183,64.04711578947368,nlp
Amazon,semi-supervised,semi_nlp_danc,222,12.5161231959801,62.19197894736841,nlp
Imdb,semi-supervised,semi_nlp_danc,222,9.511357828077859,52.425915789473684,nlp
Yelp,semi-supervised,semi_nlp_danc,222,17.317919844115536,67.10143157894737,nlp
20newsgroups,semi-supervised,semi_nlp_danc,222,19.499076815565555,73.67475848402279,nlp
ALOI,semi-supervised,semi_nlp_danc,333,10.80331831995511,60.590699047741715,classical
celeba,semi-supervised,semi_nlp_danc,333,14.397987317166178,79.42009771612719,classical
census,semi-supervised,semi_nlp_danc,333,21.11745819402751,71.75943417500909,classical
glass,semi-supervised,semi_nlp_danc,333,29.912765181527202,90.29126213592232,classical
optdigits,semi-supervised,semi_nlp_danc,333,28.727088459185047,93.48888011580472,classical
speech,semi-supervised,semi_nlp_danc,333,4.234274269545099,56.2106100747787,classical
vertebral,semi-supervised,semi_nlp_danc,333,21.64688889140103,53.587301587301596,classical
Waveform,semi-supervised,semi_nlp_danc,333,9.821383472086104,65.51196172248805,classical
Wilt,semi-supervised,semi_nlp_danc,333,47.20437653082541,91.43286530414507,classical
WPBC,semi-supervised,semi_nlp_danc,333,35.105211354571615,50.08398656215005,classical
CIFAR10,semi-supervised,semi_nlp_danc,333,22.498577690461367,73.0809885931559,cv
SVHN,semi-supervised,semi_nlp_danc,333,17.131363880659606,64.87562962502331,cv
Agnews,semi-supervised,semi_nlp_danc,333,14.751816410890234,63.905199999999994,nlp
Amazon,semi-supervised,semi_nlp_danc,333,12.322480628387662,61.754105263157896,nlp
Imdb,semi-supervised,semi_nlp_danc,333,9.191578984145613,50.1362947368421,nlp
Yelp,semi-supervised,semi_nlp_danc,333,17.447736302172583,69.13507368421054,nlp
20newsgroups,semi-supervised,semi_nlp_danc,333,21.632001869130466,73.9109664177784,nlp
ALOI,semi-supervised,semi_nlp_danc,444,9.711624088760331,58.34720964031309,classical
celeba,semi-supervised,semi_nlp_danc,444,14.460135233158653,77.81576178546005,classical
census,semi-supervised,semi_nlp_danc,444,21.222317037721506,72.31405947758034,classical
glass,semi-supervised,semi_nlp_danc,444,38.21789087759992,87.48651564185545,classical
optdigits,semi-supervised,semi_nlp_danc,444,27.589425672688616,93.08961705487565,classical
speech,semi-supervised,semi_nlp_danc,444,5.484435074363528,53.65258198981853,classical
vertebral,semi-supervised,semi_nlp_danc,444,23.49708622743302,56.34920634920635,classical
Waveform,semi-supervised,semi_nlp_danc,444,11.254017697863665,65.04665071770336,classical
Wilt,semi-supervised,semi_nlp_danc,444,61.73857156010156,93.10869524425256,classical
WPBC,semi-supervised,semi_nlp_danc,444,37.30195499998249,52.77155655095185,classical
CIFAR10,semi-supervised,semi_nlp_danc,444,24.819658540970636,74.80319391634981,cv
SVHN,semi-supervised,semi_nlp_danc,444,14.767705862241446,64.2484920092034,cv
Agnews,semi-supervised,semi_nlp_danc,444,14.319103613948576,63.21258947368422,nlp
Amazon,semi-supervised,semi_nlp_danc,444,11.968718347811084,60.592336842105276,nlp
Imdb,semi-supervised,semi_nlp_danc,444,9.707469154231314,52.237431578947366,nlp
Yelp,semi-supervised,semi_nlp_danc,444,16.09239107893137,67.01393684210527,nlp
20newsgroups,semi-supervised,semi_nlp_danc,444,19.51795891878296,72.18762164266252,nlp
ALOI,semi-supervised,semi_nlp_danc,555,10.643090713599483,60.36289223752696,classical
celeba,semi-supervised,semi_nlp_danc,555,15.433399405873896,80.53013279183095,classical
census,semi-supervised,semi_nlp_danc,555,21.30222063904054,72.3612858091453,classical
glass,semi-supervised,semi_nlp_danc,555,28.31413123220006,90.0755124056095,classical
optdigits,semi-supervised,semi_nlp_danc,555,28.326371731791944,92.70561916041584,classical
speech,semi-supervised,semi_nlp_danc,555,3.867459066872604,53.46540920311412,classical
vertebral,semi-supervised,semi_nlp_danc,555,23.72776317158333,56.22222222222223,classical
Waveform,semi-supervised,semi_nlp_danc,555,12.929107528130546,69.43899521531101,classical
Wilt,semi-supervised,semi_nlp_danc,555,58.99920627632862,91.71637806477807,classical
WPBC,semi-supervised,semi_nlp_danc,555,39.81862109524773,56.88689809630459,classical
CIFAR10,semi-supervised,semi_nlp_danc,555,25.573849883909705,74.98585551330798,cv
SVHN,semi-supervised,semi_nlp_danc,555,16.131223749752266,64.49396803681363,cv
Agnews,semi-supervised,semi_nlp_danc,555,14.668283790209834,64.64892631578948,nlp
Amazon,semi-supervised,semi_nlp_danc,555,12.518825634140665,61.572126315789475,nlp
Imdb,semi-supervised,semi_nlp_danc,555,9.0263308889606,49.44635789473684,nlp
Yelp,semi-supervised,semi_nlp_danc,555,15.941249897653773,66.91477894736842,nlp
20newsgroups,semi-supervised,semi_nlp_danc,555,20.948454840693014,75.17826179270321,nlp
ALOI,semi-supervised,semi_speech_specialist,111,6.4222953425763825,53.84047886970155,classical
celeba,semi-supervised,semi_speech_specialist,111,9.431635099468286,70.08348981272448,classical
census,semi-supervised,semi_speech_specialist,111,17.813643963494908,68.79981734012229,classical
glass,semi-supervised,semi_speech_specialist,111,29.36294506194393,83.81877022653723,classical
optdigits,semi-supervised,semi_speech_specialist,111,33.538770880581495,94.76220555336228,classical
speech,semi-supervised,semi_speech_specialist,111,4.436971868094446,54.12277449748175,classical
vertebral,semi-supervised,semi_speech_specialist,111,23.333113560353976,54.15873015873015,classical
Waveform,semi-supervised,semi_speech_specialist,111,18.948673074021965,77.90370813397129,classical
Wilt,semi-supervised,semi_speech_specialist,111,26.1661846565096,83.28878214040193,classical
WPBC,semi-supervised,semi_speech_specialist,111,40.35847903287806,56.52295632698768,classical
CIFAR10,semi-supervised,semi_speech_specialist,111,13.32556202240675,62.55011406844106,cv
SVHN,semi-supervised,semi_speech_specialist,111,10.2158209534791,55.014458056091044,cv
Agnews,semi-supervised,semi_speech_specialist,111,9.486322531555096,49.53402105263158,nlp
Amazon,semi-supervised,semi_speech_specialist,111,11.66257515930548,59.40505263157894,nlp
Imdb,semi-supervised,semi_speech_specialist,111,10.554601672176691,54.398947368421055,nlp
Yelp,semi-supervised,semi_speech_specialist,111,13.16389525877733,63.42075789473684,nlp
20newsgroups,semi-supervised,semi_speech_specialist,111,13.107166767989034,65.25974025974025,nlp
ALOI,semi-supervised,semi_speech_specialist,222,6.412552302455751,53.40189984403894,classical
celeba,semi-supervised,semi_speech_specialist,222,9.537143713165113,69.53211957658712,classical
census,semi-supervised,semi_speech_specialist,222,18.06012630027349,69.33027892140643,classical
glass,semi-supervised,semi_speech_specialist,222,43.06360433321218,92.01725997842503,classical
optdigits,semi-supervised,semi_speech_specialist,222,32.69077907484171,94.48401105408607,classical
speech,semi-supervised,semi_speech_specialist,222,4.558537789439175,55.39591113361606,classical
vertebral,semi-supervised,semi_speech_specialist,222,19.494314236533615,45.74603174603175,classical
Waveform,semi-supervised,semi_speech_specialist,222,23.502819394078678,77.4706937799043,classical
Wilt,semi-supervised,semi_speech_specialist,222,29.97870380335322,85.35712884477933,classical
WPBC,semi-supervised,semi_speech_specialist,222,36.79817797419545,52.2956326987682,classical
CIFAR10,semi-supervised,semi_speech_specialist,222,17.77355544994729,70.25513307984792,cv
SVHN,semi-supervised,semi_speech_specialist,222,10.540359973916932,53.18652446987129,cv
Agnews,semi-supervised,semi_speech_specialist,222,9.753115375952785,51.51162105263158,nlp
Amazon,semi-supervised,semi_speech_specialist,222,11.264432120215611,57.40766315789474,nlp
Imdb,semi-supervised,semi_speech_specialist,222,9.614859135704842,51.20454736842106,nlp
Yelp,semi-supervised,semi_speech_specialist,222,12.573932217223827,60.55473684210525,nlp
20newsgroups,semi-supervised,semi_speech_specialist,222,14.363360758620175,69.33012491595598,nlp
ALOI,semi-supervised,semi_speech_specialist,333,6.535235148430058,54.37896647715468,classical
celeba,semi-supervised,semi_speech_specialist,333,9.190376559528147,69.51498223886048,classical
census,semi-supervised,semi_speech_specialist,333,17.700225049549594,68.56683449833642,classical
glass,semi-supervised,semi_speech_specialist,333,22.455340324479284,86.94714131607336,classical
optdigits,semi-supervised,semi_speech_specialist,333,32.46874319944054,94.68166864061061,classical
speech,semi-supervised,semi_speech_specialist,333,4.005001693923507,52.591031982132684,classical
vertebral,semi-supervised,semi_speech_specialist,333,24.44696756735423,58.25396825396826,classical
Waveform,semi-supervised,semi_speech_specialist,333,18.516532647469223,75.00598086124401,classical
Wilt,semi-supervised,semi_speech_specialist,333,27.299202759495643,83.20980114872137,classical
WPBC,semi-supervised,semi_speech_specialist,333,39.18819335242921,55.73908174692049,classical
CIFAR10,semi-supervised,semi_speech_specialist,333,13.915686347707599,65.0958174904943,cv
SVHN,semi-supervised,semi_speech_specialist,333,9.749399592312145,49.925999626888874,cv
Agnews,semi-supervised,semi_speech_specialist,333,9.458911749048413,50.01498947368421,nlp
Amazon,semi-supervised,semi_speech_specialist,333,11.356880902777878,57.26808421052632,nlp
Imdb,semi-supervised,semi_speech_specialist,333,9.754928615658677,52.829936842105276,nlp
Yelp,semi-supervised,semi_speech_specialist,333,12.906731271501195,60.610694736842106,nlp
20newsgroups,semi-supervised,semi_speech_specialist,333,14.673844786884372,69.72380480554867,nlp
ALOI,semi-supervised,semi_speech_specialist,444,6.491126522463992,53.95381132523155,classical
celeba,semi-supervised,semi_speech_specialist,444,9.482948774680475,69.77258153531297,classical
census,semi-supervised,semi_speech_specialist,444,17.93255457676557,69.20239899984541,classical
glass,semi-supervised,semi_speech_specialist,444,30.943926878563456,83.06364617044228,classical
optdigits,semi-supervised,semi_speech_specialist,444,34.6639834551786,95.07751019871036,classical
speech,semi-supervised,semi_speech_specialist,444,4.408760698079664,52.93915528107566,classical
vertebral,semi-supervised,semi_speech_specialist,444,22.789023845595047,54.095238095238095,classical
Waveform,semi-supervised,semi_speech_specialist,444,17.4480895054436,75.77870813397129,classical
Wilt,semi-supervised,semi_speech_specialist,444,23.616982889018416,80.98707475218221,classical
WPBC,semi-supervised,semi_speech_specialist,444,38.27230550517757,53.02351623740201,classical
CIFAR10,semi-supervised,semi_speech_specialist,444,14.662048506182797,66.37247148288972,cv
SVHN,semi-supervised,semi_speech_specialist,444,12.526873343278023,61.696567377650645,cv
Agnews,semi-supervised,semi_speech_specialist,444,9.065791036924947,48.14623157894737,nlp
Amazon,semi-supervised,semi_speech_specialist,444,11.09365185531509,56.49854736842106,nlp
Imdb,semi-supervised,semi_speech_specialist,444,9.92017303335842,53.2993894736842,nlp
Yelp,semi-supervised,semi_speech_specialist,444,12.947451289120568,63.091831578947364,nlp
20newsgroups,semi-supervised,semi_speech_specialist,444,13.49077545425451,67.25954563148024,nlp
ALOI,semi-supervised,semi_speech_specialist,555,6.4587388718928676,53.784532714982745,classical
celeba,semi-supervised,semi_speech_specialist,555,8.629652692831295,68.2680181368553,classical
census,semi-supervised,semi_speech_specialist,555,18.049817122384123,69.09574968188225,classical
glass,semi-supervised,semi_speech_specialist,555,24.869259919771427,88.56526429341963,classical
