dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
speech,unsupervised,unsup_baseline,111,3.940924287165611,56.80226116449971,classical
vowels,unsupervised,unsup_baseline,111,50.85012131863,95.7126600284495,classical
Agnews,unsupervised,unsup_baseline,111,8.81450480321617,66.42218947368421,nlp
speech,unsupervised,unsup_lfdanc,111,1.4697960546467694,44.89406444318824,classical
vowels,unsupervised,unsup_lfdanc,111,13.685519789812748,76.16073968705547,classical
Agnews,unsupervised,unsup_lfdanc,111,5.764815456392163,55.271231578947365,nlp
speech,unsupervised,unsup_ssts,111,1.4483792595456246,43.8512153759186,classical
vowels,unsupervised,unsup_ssts,111,11.717466292973041,72.30725462304409,classical
Agnews,unsupervised,unsup_ssts,111,5.408809876580007,52.95694736842106,nlp
speech,semi-supervised,baseline_ddae,111,4.450961934142553,52.57566030399754,classical
vowels,semi-supervised,baseline_ddae,111,95.29880116929166,99.53627311522048,classical
Agnews,semi-supervised,baseline_ddae,111,18.892865188606795,69.39355789473684,nlp
speech,semi-supervised,semi_cvnlp_ftp,111,4.350028283261676,50.07731049885615,classical
vowels,semi-supervised,semi_cvnlp_ftp,111,95.29880116929166,99.53627311522048,classical
Agnews,semi-supervised,semi_cvnlp_ftp,111,15.612161445288342,65.63823157894736,nlp
speech,semi-supervised,semi_cvnlp_taps_004,111,3.0074944292431827,44.53898528839981,classical
vowels,semi-supervised,semi_cvnlp_taps_004,111,87.23358608309796,98.66856330014224,classical
Agnews,semi-supervised,semi_cvnlp_taps_004,111,15.320827998955986,65.37368421052632,nlp
speech,semi-supervised,semi_cvnlp_taps_006,111,2.921575811288553,43.77763511252972,classical
vowels,semi-supervised,semi_cvnlp_taps_006,111,87.8143675704717,98.73684210526315,classical
Agnews,semi-supervised,semi_cvnlp_taps_006,111,15.485793126656855,66.08732631578948,nlp
speech,semi-supervised,semi_nlp_danc,111,3.793058125319483,50.96253831616829,classical
vowels,semi-supervised,semi_nlp_danc,111,84.19929043982162,97.6330014224751,classical
Agnews,semi-supervised,semi_nlp_danc,111,15.673771475219691,65.80471578947369,nlp
speech,semi-supervised,semi_speech_specialist,111,4.197428566512227,51.3359796732162,classical
vowels,semi-supervised,semi_speech_specialist,111,70.21285786640694,97.00426742532005,classical
Agnews,semi-supervised,semi_speech_specialist,111,10.177524363869887,53.35018947368422,nlp
