dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
20newsgroups,semi-supervised,baseline_ddae,333,30.421382703371446,79.94709650023002,nlp
ALOI,semi-supervised,ssts,222,11.617884282644077,58.99980017455177,classical
Agnews,semi-supervised,baseline_ddae,111,18.71630478831908,69.64581052631578,nlp
Amazon,semi-supervised,ftp,333,12.832571585554792,63.47311578947368,nlp
CIFAR10,semi-supervised,semi_cvnlp_ftp,111,26.39994238843609,75.24532319391633,cv
Imdb,semi-supervised,semi_speech_specialist,111,10.554601672176691,54.398947368421055,nlp
SVHN,semi-supervised,ftp,333,17.25381328103836,65.30144269634972,cv
WPBC,semi-supervised,semi_speech_specialist,555,42.62637710895898,59.49048152295633,classical
Waveform,semi-supervised,semi_rdt_tail,111,25.154673845064064,81.38456937799043,classical
Wilt,semi-supervised,ssts,333,62.69498925824214,92.38711944552955,classical
Yelp,semi-supervised,semi_cvnlp_ftp,333,20.285964442386117,71.36458947368422,nlp
celeba,semi-supervised,semi_nlp_danc,555,15.433399405873896,80.53013279183095,classical
census,semi-supervised,baseline_ddae,555,21.927569737063415,71.91986137173163,classical
glass,semi-supervised,semi_rdt_tail,222,50.394050394050396,94.60625674217907,classical
optdigits,semi-supervised,semi_cvnlp_ftp,222,42.58188037912626,96.35609948677455,classical
speech,semi-supervised,baseline_ddae,222,6.132306417549959,56.627453817149366,classical
vertebral,semi-supervised,semi_nlp_danc,111,41.88709835195053,74.0,classical
