dataset,setting,candidate,seed,PR-AUC,ROC-AUC,category
Amazon,unsupervised,unsup_baseline,111,6.292733303461782,61.09248421052631,nlp
Imdb,unsupervised,unsup_baseline,111,4.563021525141972,48.57347368421052,nlp
Amazon,unsupervised,unsup_baseline,222,6.368250074153062,61.47587368421053,nlp
Imdb,unsupervised,unsup_baseline,222,4.613275940449057,49.32,nlp
Amazon,unsupervised,unsup_baseline,333,6.349493026027192,61.57197894736842,nlp
Imdb,unsupervised,unsup_baseline,333,4.596997285002753,49.148547368421056,nlp
Amazon,unsupervised,unsup_baseline,444,6.386668883997154,61.41460000000001,nlp
Imdb,unsupervised,unsup_baseline,444,4.5790789612976575,48.92051578947368,nlp
Amazon,unsupervised,unsup_baseline,555,6.339608096626417,61.51055789473684,nlp
Imdb,unsupervised,unsup_baseline,555,4.60360039749055,49.24278947368421,nlp
Amazon,unsupervised,unsup_lfdanc,111,6.174307067927194,58.37829473684211,nlp
Imdb,unsupervised,unsup_lfdanc,111,4.700623509441962,50.029810526315785,nlp
Amazon,unsupervised,unsup_lfdanc,222,6.005601443368315,57.78425263157896,nlp
Imdb,unsupervised,unsup_lfdanc,222,4.694353021136538,49.74624210526317,nlp
Amazon,unsupervised,unsup_lfdanc,333,6.106405285430365,58.60042105263158,nlp
Imdb,unsupervised,unsup_lfdanc,333,4.670944290682236,49.360347368421046,nlp
Amazon,unsupervised,unsup_lfdanc,444,5.923230590986293,56.82605263157895,nlp
Imdb,unsupervised,unsup_lfdanc,444,4.707887515228475,49.60287368421053,nlp
Amazon,unsupervised,unsup_lfdanc,555,6.01565185094912,57.91465263157895,nlp
Imdb,unsupervised,unsup_lfdanc,555,4.785426490567025,50.60901052631579,nlp
Amazon,unsupervised,unsup_ssts,111,6.005089224441436,57.3705052631579,nlp
Imdb,unsupervised,unsup_ssts,111,4.844136057790258,50.85474736842105,nlp
Amazon,unsupervised,unsup_ssts,222,5.924968923758048,57.47017894736841,nlp
Imdb,unsupervised,unsup_ssts,222,4.830173563843172,50.06908421052633,nlp
Amazon,unsupervised,unsup_ssts,333,5.98121889846073,58.14816842105264,nlp
Imdb,unsupervised,unsup_ssts,333,4.747389821071441,49.91046315789474,nlp
Amazon,unsupervised,unsup_ssts,444,5.961450122174696,57.87987368421052,nlp
Imdb,unsupervised,unsup_ssts,444,4.853814285132448,48.90126315789474,nlp
Amazon,unsupervised,unsup_ssts,555,5.87834245298729,56.937431578947375,nlp
Imdb,unsupervised,unsup_ssts,555,4.803129312600772,50.301273684210535,nlp
Agnews,unsupervised,taps,111,5.962921968763039,56.67366315789474,nlp
Amazon,unsupervised,taps,111,6.03797593995097,57.73191578947369,nlp
Imdb,unsupervised,taps,111,4.777388349604798,50.48185263157895,nlp
